Stoff;Kategorie;Schicht;Wirkung_spuerbar;Longevity_Pathway;Wirkmechanismus;Evidenz;Dosis_wirksam_mg;Form_empfohlen;EU_Status;EFSA_Claim;Hitzestabil_90C;Wasserloeslich;Geschmack_Geruch;Max_Dosis_mg;Kontraindikationen;Synergie;Kostenklasse;Keep_Cut;Begruendung
Trigonellin;Kaffee_intrinsisch;CORE_gratis;indirekt;NAD+;NAD+-Vorstufe (stabiler als NMN/NR);mittel;intrinsisch;Light Roast Robusta;im Kaffee natuerlich;nein;nein;-;kaffeetypisch;-;keine;NAD+-Pathway;0;KEEP;Gratis in Bohne, Differenzierer, Light Roast maximiert
Chlorogensaeure;Kaffee_intrinsisch;CORE_gratis;indirekt;AMPK;AMPK, Antioxidans, Insulinsensitiv.;hoch;intrinsisch;Light Roast, Robusta-Anteil;im Kaffee natuerlich;teilweise;nein;-;herb-sauer;-;keine;Trigonellin;0;KEEP;Light Roast 2-3x mehr, Robusta>Arabica
Cafestol/Kahweol;Kaffee_intrinsisch;-;nein;-;Diterpene, LDL-erhoehend;hoch;-;-;im Kaffee;nein;nein;oelig;-;-;Hypercholesterinaemie;-;0;CUT;In Instant ~null (<1mg/L) = Vorteil. Aktiv NICHT zusetzen
Koffein anhydrous;A_Stimulans;CORE;ja_stark;AMPK indirekt;Adenosin-Antagonismus;hoch;100-200;anhydrous + Kaffeebasis;zugelassen;ja;ja;ja;bitter;400;Herzrhythmus, Schwangerschaft;L-Theanin;niedrig;KEEP;Hauptwirkstoff
Koffein-Malat (Infinergy);A_Stimulans;Kandidat;ja_stark;-;Koffein gepuffert, magenschonender;mittel;100-200;Dicaffeine Malate;zugelassen;ja;ja;ja;weniger bitter;400;wie Koffein;L-Theanin;mittel;PRUEFEN;Sanfter als anhydrous, teurer
Paraxanthin;A_Stimulans;Kandidat;ja_stark;-;Koffein-Hauptmetabolit, weniger Angst/Jitter;vorlaeufig;50-200;enfinity;NF-pruefen;nein;ja;ja;leicht bitter;-;wie Koffein;L-Theanin;sehr hoch;PRUEFEN;Neuartig, EU-NF-Status pruefen, teuer
Guarana;A_Stimulans;Kandidat;ja;-;Koffein langsam freigesetzt;hoch;-;Extrakt standard.;zugelassen;ja (Koffein);ja;ja;adstringierend;-;wie Koffein;Koffein;niedrig;CUT;Redundant zu Koffein
Gruentee-Extrakt/EGCG;A_Stimulans;Kandidat;ja_schwach;AMPK/Autophagie;Koffein+EGCG, Thermogenese;hoch;Koffein50-100/EGCG100-300;standard. EGCG;zugelassen (EGCG-Limit beachten);nein;teilweise;teilweise;adstringierend;EGCG 800 (Leberlimit);Leberbelastung hochdosiert;L-Theanin;niedrig;PRUEFEN;EGCG-Leberwarnung EFSA >800mg, Dosis beachten
Yerba Mate;A_Stimulans;Kandidat;ja;-;Koffein+Theobromin+Saponine;mittel;Koffein 30-80;Extrakt standard.;zugelassen;nein;ja;ja;erdig-rauchig;-;wie Koffein;-;niedrig;CUT;Geschmack dominant, redundant
Theobromin;A_Stimulans;Evening_SKU;ja_schwach;-;milde Vasodilatation, sanfte Energie;mittel;100-300;rein;zugelassen;nein;ja;teilweise;leicht bitter-kakao;-;Herzrhythmus (hoch);-;niedrig;EVENING;Sanfte Energie, Evening/Decaf-Variante
