Stoff,Kategorie,Wirkung,Mechanismus,Dosis_mg,Longevity_Pathway,EU_Status,EFSA_Claim,Stabilität_Kaffee,Blueprint_Status,Kosten_EUR_pro_g,Kosten_EUR_pro_Dosis,Risiken,Kontraindikationen,Stack_Synergien,Stack_Inkompatibilitäten,Notizen
Koffein Anhydrous,A_Stimulantien,Performance + Longevity,Adenosin-Antagonismus + AMPK,100-200,AMPK-Aktivierung,Zugelassen,Kognitive Funktion (EFSA 2011),Hitzestabil,Nein (abgesetzt),,,Tachykardie >400mg,Herzrhythmusstörungen,L-Theanin,MAO-Hemmer,Hauptwirkstoff
L-Theanin,B_Nootropika,Performance,GABA + Glutamat-Modulation,200,Nein,Zugelassen (Novel Food 2021),Nein,Hitzestabil,Nein,,,Selten bei >1200mg,Keine bekannt,Koffein (1:2),,1:2 Ratio mit Koffein optimal
Alpha-GPC,B_Nootropika,Performance,Acetylcholin-Vorstufe,300-600,Nein,Zugelassen,Nein,Prüfen (pH-sensitiv),Nein,,,GI bei >1200mg,Demenz-Medikamente,Lion's Mane,,50% Form vs 99% Form - 99% effizienter aber teurer
Lion's Mane,D_Pilze,Performance + Longevity,NGF + BDNF-Stimulation,500-1000,Neuroplastizität / BDNF,Zugelassen,Nein,Prüfen (Bitterkeit!),Super Shrooms,,,Selten,Pilzallergie,Alpha-GPC + Cordyceps,,Dual Extract (hot water + ethanol) bevorzugen
Cordyceps Militaris,D_Pilze,Performance + Longevity,ATP-Produktion + Mitochondrien,1000,Mitochondriale Funktion,Zugelassen,Nein,Prüfen,Super Shrooms,,,Selten,Autoimmunerkrankungen,Lion's Mane + Kreatin,,CS-4-Stamm vs Myzel - Fruchtkörper bevorzugen
Ashwagandha KSM-66,C_Adaptogene,Performance + Longevity,HPA-Achse + Cortisol,300-600,Inflammaging ↓,Zugelassen,Nein,Prüfen (bitter),Ashwagandha+Rhodiola,,,Schilddrüsen-Hyperaktivität,Schilddrüsenmedikamente,Rhodiola,,KSM-66 vs Sensoril: KSM-66 für Performance / Sensoril für Schlaf
Rhodiola Rosea,C_Adaptogene,Performance,Serotonin + Dopamin + Cortisol,200-400,Inflammaging ↓,Zugelassen,Nein,Prüfen,Ashwagandha+Rhodiola,,,Bipolare Störung,MAO-Hemmer / Bipolare Störung,Ashwagandha,,3% Rosavine / 1% Salidroside standardisiert
NAC,F_Longevity,Longevity,Glutathion-Vorstufe + Seneszenz ↓,600-1800,Inflammation + Seneszenz,Zugelassen (NEM),Nein,PRÜFEN (Schwefelgeruch!),NAC+Ginger+Curcumin,,,GI bei >3600mg,Nitroglycerin,Curcumin + Kreatin,,⚠️ SCHWEFELGERUCH — Flavorist nötig
Urolithin A,F_Longevity,Longevity,Mitophagie-Aktivierung,250-500,Mitochondrien + Autophagie,PRÜFEN (Novel Food?),Nein,PRÜFEN,Nein,,,Keine bekannt,Keine bekannt,Spermidine,,⚠️ AMAZENTIS PATENT (Mitopure) — IP-Check nötig!
Spermidine,F_Longevity,Longevity,Autophagie-Induktion,1-5,Autophagie,PRÜFEN (Novel Food DE?),Nein,PRÜFEN (hitzesensitiv?),Nein,,,Keine bekannt,Keine bekannt,Urolithin A,,⚠️ Novel Food Status in DE prüfen — Weizenkeimextrakt möglicherweise akzeptiert
NMN,F_Longevity,Longevity,NAD+-Biosynthese,250-500,NAD+/Sirtuine,UNKLAR (Novel Food 2025?),Nein,PRÜFEN (oxidationsempfindlich),Nein,,,Keine bekannt,Keine bekannt,NR (Alternative),,⚠️ EU Novel Food Status 2025/2026 KRITISCH klären vor Stack-Entscheidung
NR (Nicotinamid Ribosid),F_Longevity,Longevity,NAD+-Biosynthese (alternativer Weg),250-300,NAD+/Sirtuine,PRÜFEN (Chromadex Patent),Nein,PRÜFEN,Nein,,,Keine bekannt,Keine bekannt,NMN-Alternative,,⚠️ CHROMADEX NIAGEN PATENT — vor Verwendung klären
Astaxanthin,F_Longevity,Longevity + Performance,Antioxidans + Mitochondrien,4-12,Mitochondrien,Zugelassen,Nein,PRÜFEN (lichtempfindlich),Nein,,,Keine bei normaler Dosis,Antikoagulantien,CoQ10,,Stärkstes natürliches Antioxidans (ORAC-Wert)
CoQ10 Ubiquinol,F_Longevity,Longevity + Performance,Mitochondriale Atmungskette,100-300,Mitochondrien,Zugelassen,Nein,PRÜFEN (hydrophob!),Nein,,,Keine bei normaler Dosis,Statine (Interaktion),Astaxanthin,,⚠️ Hydrophob — Emulgierung in Kaffee problematisch
L-Tyrosin,E_Aminosäuren,Performance,Dopamin/Noradrenalin-Vorstufe,500-2000,Nein,Zugelassen,Nein,Hitzestabil,Nein,,,Schilddrüse,MAO-Hemmer / Schilddrüsenmedikamente,Koffein,,NALT (N-Acetyl-L-Tyrosin) bioverfügbarer
Taurin,E_Aminosäuren,Performance + Longevity,Neuromodulation + Mitochondrien,1000-2000,Mitochondrien (2023 Studie!),Zugelassen,Nein,Hitzestabil,Nein,,,Sehr selten,Lithium,Magnesium,,⚠️ 2023 Science Paper: Taurin-Mangel = Alterungsmerkmal — starkes Longevity-Argument
Kreatin Monohydrat,E_Aminosäuren,Performance + Longevity,ATP-Resynthese + Mitochondrien,3000-5000,Mitochondrien,Zugelassen,Muskelleistung (EFSA 2016),PRÜFEN (Hitzestabilität?),Creatine,,,GI bei >10g einmalig,Nierenerkrankungen (Vorsicht),Koffein (Interaktion kontrovers),,⚠️ Blueprint verkauft Kreatin separat — Koffein+Kreatin Interaktion prüfen
Trigonellin,Kaffee_Inhaltsstoff,Longevity,NAD+-Vorstufe (NMN-ähnlich),in Kaffee enthalten,NAD+/Sirtuine,Im Kaffee natürlich,Nein,Light Roast bevorzugen,Nein,,,Keine,Keine,NMN/NR-Synergie,,⚠️ 2024 Forschung: Trigonellin → NMN-Vorstufe. Light Roast maximiert Gehalt!
Chlorogensäure,Kaffee_Inhaltsstoff,Longevity,AMPK-Aktivierung + Antioxidans,in Kaffee enthalten,AMPK,Im Kaffee natürlich,Nein,Light Roast bevorzugen,Nein,,,Sehr selten,Keine,EGCG-Synergie,,Light Roast: 2-3x mehr als Dark Roast. Robusta > Arabica in Gehalt.
