Name,Kategorie,Funktion,Dosis_pro_Portion,Einheit,Kosten_pro_kg_EUR,Lieferantenstatus,Regulatorik_Status,Notizen
Caffeine (aus Kaffee),Stimulanz,Wachheit_Fokus,100,mg,,aus_kaffee,genehmigt,"~100 mg aus 12 g Power Blend; zusätzlicher Boost TBD; EFSA max. 400 mg/Tag"
L-Theanine,Aminosäure,ruhiger_Fokus,200,mg,,recherche_noetig,genehmigt_novel_food,"Stack A Kern; EU max. 200 mg/Portion in Getränken; 1:2 mit Koffein"
L-Tyrosine,Aminosäure,Dopaminvorstufe_Stress,500,mg,,recherche_noetig,genehmigt,"Stack A; wirksam 500–2000 mg; kontraindiziert bei Schilddrüse/MAO-I"
Alpha-GPC,Cholinquelle,kognitive_Leistung,300,mg,,recherche_noetig,eingeschraenkt_novel_food,"Stack C Pre-Training; max. 400 mg/Tag EU; fischiger Geruch — nur Kapsel"
Ashwagandha KSM-66,Adaptogen,Stress_Cortisol,300,mg,,recherche_noetig,genehmigt_lebensmittel_de,"Phase 2+; kein akuter Effekt; erdiger Geschmack; Leberrisiko bei hohen Dosen"
Rhodiola rosea Extrakt,Adaptogen,Anti-Fatigue_akut,300,mg,,recherche_noetig,genehmigt_ohne_claims,"Stack B; 3 % Rosavine + 1 % Salidroside; akuter Effekt"
Lions Mane Extrakt,Funktionaler_Pilz,Neuroplastizität_BDNF,500,mg,,recherche_noetig,genehmigt_ohne_claims,"Marketing stark; kumulativ über Wochen; nicht Phase 1"
Vitamin B6,Vitamin,Energiestoffwechsel,1.4,mg,,recherche_noetig,health_claims,"EFSA NRV; Claim: reduziert Müdigkeit"
Vitamin B12,Vitamin,Energie_Nerven,2.5,ug,,recherche_noetig,health_claims,"EFSA NRV; Claim: reduziert Müdigkeit"
Pantothensäure B5,Vitamin,Energiestoffwechsel,6,mg,,recherche_noetig,health_claims,"EFSA NRV"
Natrium,Elektrolyt,Hydration,200,mg,,recherche_noetig,genehmigt,"Stack C; compensiert Koffein-Diurese; DRYLL-Ref. ~800 mg Elektrolyte gesamt"
Magnesium,Elektrolyt,Muskel_Nerv,50,mg,,recherche_noetig,health_claims,"Als Mg-Citrat oder Bisglycinat; Claim: Muskelfunktion"
Kalium,Elektrolyt,Hydration_Elektrolytgleichgewicht,100,mg,,recherche_noetig,genehmigt,"Teil des Elektrolyt-Blends"
Vietnam Robusta Da Lat,Kaffeebasis,Koffein_Crema,9.6,g,,recherche_noetig,genehmigt,"80 % Power Blend; 2,2–2,7 % Koffein; mittel-dunkle Röstung"
Äthiopien Arabica Yirgacheffe,Kaffeebasis,Geschmack_Komplexität,2.4,g,,recherche_noetig,genehmigt,"20 % Power Blend; Specialty-Positionierung"
Vietnam Robusta 40pct Blend,Kaffeebasis,Koffein_Balance,4.8,g,,recherche_noetig,genehmigt,"40 % Focus Blend (60/40 Arabica-Robusta)"
Kolumbien Arabica 60pct Blend,Kaffeebasis,Geschmack_Balance,7.2,g,,recherche_noetig,genehmigt,"60 % Focus Blend"
Instantkaffee sprühgetrockert,Kaffeebasis,Convenience-Format,2,g,,recherche_noetig,genehmigt,"Alternatives SKU-Format; Stick/Sachet-Integration"
Cold-Brew-Konzentrat 1-10,Kaffeebasis,premium_RTD-Basis,30,ml,,recherche_noetig,genehmigt,"RTD-Pfad; kombiniert mit Supplement-Sachet"
B-Vitamin-Premix NRV,Blend,Energiestoffwechsel-Stack,1,Portion,,recherche_noetig,health_claims,"Kombiniert B6+B12+B5 Premix; Angebot pro Portion, nicht pro kg"
Creatin-Monohydrat,Ergogen,ATP_Muskel,3,g,,recherche_noetig,genehmigt,"Nicht in Vault-Stacks; plausible Phase-2-Sport-SKU; Momentous-Vergleich"
Reishi Extrakt Fruchtkoerper,Funktionaler_Pilz,Immun_Adaptogen,500,mg,MycoVital,recherche_noetig,genehmigt_ohne_claims,"Stack B Phase 2; MycoVital 100% Fruchtkörper DE; Clipping 2026-06-14"
Chaga Extrakt Fruchtkoerper,Funktionaler_Pilz,Antioxidant_Adaptogen,500,mg,MycoVital,recherche_noetig,genehmigt_ohne_claims,"Stack B optional; Four Sigmatic-Parität"
Elektrolyt-Blend DRYLL-Ref,Blend,Hydration_Stack,800,mg,DRYLL-Benchmark,recherche_noetig,genehmigt,"Stack C; >800 mg Na/K/Mg gesamt; DRYLL Clipping; Natrium/Kalium/Magnesium Einzelzeilen oben"
Hydroxytyrosol EVOO,Polyphenol,Antioxidant_Zellschutz,5,mg,Solio-Referenz,recherche_noetig,health_claims_eingeschraenkt,"Phase 3+ Bundle only; EU-Claim Blutlipide nur mit 20g EVOO/5mg HT; nicht in Kaffee"
Creatin-Elektrolyt-Kombi,BRAINEFFECT-Referenz,Recovery_Hydration,1,Portion,BRAINEFFECT,recherche_noetig,genehmigt,"Wettbewerber-SKU €34,90; separates Produkt — nicht Kaffee-integriert"
MycoVital Lieferant,Vitalpilze_Hersteller,Stack_B_Rohstoff,0,kg,MycoVital,recherche_noetig,genehmigt,"DE-Verarbeitung; Bio; >20J Erfahrung; Anfrage Lion's Mane Spec"
